                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.84816,                0.85508,                0.76692,                 1.3169,                0.99631,                      1,                  0.995,                0.83409,                0.99631,                      1,                  0.995,                0.82489,                0.68153,                 1.2473,                0.78665,                  1.486,               0.001241,               0.001241,               0.001241
                     26,                0.68406,                0.78765,                0.65787,                 1.2045,                0.99554,                      1,                  0.995,                0.81282,                0.99554,                      1,                  0.995,                0.83337,                 0.8182,                 1.0465,                0.76716,                 1.7942,               0.001208,               0.001208,               0.001208
                     27,                0.73056,                0.82097,                0.67253,                 1.2352,                0.99772,                      1,                  0.995,                0.83202,                0.99772,                      1,                  0.995,                0.87416,                0.62991,                0.99356,                0.58957,                 1.4378,               0.001175,               0.001175,               0.001175
                     28,                0.83321,                0.89667,                0.72767,                 1.3106,                0.99844,                      1,                  0.995,                0.87589,                0.99844,                      1,                  0.995,                0.87982,                 0.6284,                0.97381,                0.59413,                 1.3947,               0.001142,               0.001142,               0.001142
                     29,                0.70889,                0.87568,                0.65055,                 1.1941,                0.90955,                0.95792,                0.98914,                0.83812,                0.90955,                0.95792,                0.98914,                0.90012,                0.66998,                0.90547,                 0.9249,                 1.4154,               0.001109,               0.001109,               0.001109
                     30,                0.76572,                0.86827,                 0.7185,                 1.2584,                0.93112,                      1,                0.98864,                0.84261,                0.93112,                      1,                0.98864,                0.89822,                0.65352,                0.83004,                0.87621,                 1.4394,               0.001076,               0.001076,               0.001076
                     31,                0.82019,                0.80238,                0.78576,                 1.2868,                0.99495,                      1,                  0.995,                0.85803,                0.99495,                      1,                  0.995,                0.90098,                0.71644,                0.87743,                0.62914,                 1.4789,               0.001043,               0.001043,               0.001043
                     32,                0.74381,                0.73292,                0.68374,                 1.2177,                0.99699,                      1,                  0.995,                0.88255,                0.99699,                      1,                  0.995,                0.93117,                0.59453,                0.78288,                0.53195,                 1.3998,                0.00101,                0.00101,                0.00101
                     33,                0.66658,                0.70817,                0.64093,                 1.1442,                0.99721,                      1,                  0.995,                0.87701,                0.99721,                      1,                  0.995,                0.93024,                0.55129,                0.75328,                 0.5097,                 1.3357,               0.000977,               0.000977,               0.000977
                     34,                 0.6889,                0.77375,                0.61266,                 1.1786,                0.99543,                      1,                  0.995,                0.86446,                0.99543,                      1,                  0.995,                0.91482,                0.62414,                0.82082,                0.54306,                 1.3826,               0.000944,               0.000944,               0.000944
                     35,                0.64133,                0.67976,                0.57646,                 1.1843,                0.99711,                      1,                  0.995,                0.87996,                0.99711,                      1,                  0.995,                0.92129,                0.55976,                0.84189,                0.50012,                 1.3077,               0.000911,               0.000911,               0.000911
                     36,                0.69279,                0.68739,                0.63435,                 1.1942,                0.99732,                      1,                  0.995,                0.88556,                0.99732,                      1,                  0.995,                0.90736,                0.47391,                0.85051,                0.46526,                 1.2473,               0.000878,               0.000878,               0.000878
                     37,                0.63035,                0.69981,                0.60578,                 1.1582,                0.99733,                      1,                  0.995,                0.89518,                0.99733,                      1,                  0.995,                0.91937,                0.46574,                0.81852,                0.47654,                 1.2073,               0.000845,               0.000845,               0.000845
                     38,                0.74449,                0.72964,                0.65307,                 1.2121,                0.99733,                      1,                  0.995,                0.87143,                0.99733,                      1,                  0.995,                 0.9127,                0.51969,                0.82341,                0.51088,                 1.2347,               0.000812,               0.000812,               0.000812
                     39,                0.68226,                0.71268,                0.62616,                 1.2103,                0.99711,                      1,                  0.995,                0.87385,                0.99711,                      1,                  0.995,                0.92099,                0.58696,                0.82314,                0.52751,                 1.3384,               0.000779,               0.000779,               0.000779
                     40,                0.62353,                0.68258,                0.58497,                 1.1429,                0.99655,                      1,                  0.995,                0.88161,                0.99655,                      1,                  0.995,                0.91604,                0.57728,                0.80791,                0.51145,                 1.3239,               0.000746,               0.000746,               0.000746
                     41,                0.66337,                0.72923,                0.62069,                 1.1751,                0.99485,                      1,                  0.995,                0.90273,                0.99485,                      1,                  0.995,                0.91589,                 0.4992,                0.79072,                0.53153,                 1.1931,               0.000713,               0.000713,               0.000713
                     42,                0.61482,                0.69085,                0.60048,                 1.1538,                0.99679,                      1,                  0.995,                0.88838,                0.99679,                      1,                  0.995,                0.91583,                0.49197,                0.80322,                0.49497,                 1.2168,                0.00068,                0.00068,                0.00068
                     43,                0.52576,                0.68683,                0.51143,                  1.086,                0.99752,                      1,                  0.995,                0.84763,                0.99752,                      1,                  0.995,                0.89154,                0.55508,                0.83451,                0.52111,                 1.3508,               0.000647,               0.000647,               0.000647
                     44,                0.52605,                0.59158,                0.50006,                 1.0844,                0.99747,                      1,                  0.995,                0.85643,                0.99747,                      1,                  0.995,                0.90012,                 0.5341,                0.79901,                0.51696,                 1.3325,               0.000614,               0.000614,               0.000614
                     45,                0.56027,                0.69248,                0.51526,                 1.0944,                0.99749,                      1,                  0.995,                   0.87,                0.99749,                      1,                  0.995,                 0.9227,                0.56237,                0.72003,                0.52971,                 1.2705,               0.000581,               0.000581,               0.000581
                     46,                0.59396,                  0.693,                0.55863,                 1.1354,                0.99741,                      1,                  0.995,                0.89124,                0.99741,                      1,                  0.995,                0.91419,                0.55903,                0.71396,                0.53668,                 1.2613,               0.000548,               0.000548,               0.000548
                     47,                0.51773,                 0.6315,                0.51134,                 1.0439,                 0.9974,                      1,                  0.995,                0.90277,                 0.9974,                      1,                  0.995,                0.92045,                0.49997,                0.74321,                  0.493,                 1.2321,               0.000515,               0.000515,               0.000515
                     48,                0.50004,                0.67732,                0.50157,                 1.0719,                0.99706,                      1,                  0.995,                 0.9199,                0.99706,                      1,                  0.995,                0.93069,                0.47552,                0.75831,                0.46107,                 1.2274,               0.000482,               0.000482,               0.000482
                     49,                0.49969,                0.65909,                 0.4947,                 1.0282,                0.99687,                      1,                  0.995,                0.93414,                0.99687,                      1,                  0.995,                0.92532,                0.44353,                0.72137,                0.45027,                 1.1925,               0.000449,               0.000449,               0.000449
                     50,                0.49144,                0.53903,                0.51535,                 1.0956,                0.99736,                      1,                  0.995,                 0.9248,                0.99736,                      1,                  0.995,                0.92833,                0.49072,                0.67629,                0.47935,                 1.2502,               0.000416,               0.000416,               0.000416
                     51,                0.42448,                0.54476,                0.45054,                 1.1603,                0.99706,                      1,                  0.995,                0.91203,                0.99706,                      1,                  0.995,                0.92652,                0.42983,                0.69675,                0.45144,                 1.1772,               0.000383,               0.000383,               0.000383
                     52,                0.46212,                0.57723,                0.45693,                 1.1802,                 0.9958,                      1,                  0.995,                0.91725,                 0.9958,                      1,                  0.995,                0.93285,                0.39834,                0.69713,                 0.4679,                  1.154,                0.00035,                0.00035,                0.00035
                     53,                 0.4454,                0.52341,                0.45536,                 1.1971,                0.99572,                      1,                  0.995,                0.90223,                0.99572,                      1,                  0.995,                0.92083,                 0.3866,                0.69654,                 0.4554,                 1.1421,               0.000317,               0.000317,               0.000317
                     54,                0.43692,                0.52017,                0.45555,                 1.1936,                0.99633,                      1,                  0.995,                0.89563,                0.99633,                      1,                  0.995,                0.91685,                 0.4036,                0.68965,                0.41799,                 1.1482,               0.000284,               0.000284,               0.000284
                     55,                0.41696,                0.49308,                0.41922,                 1.1529,                 0.9965,                      1,                  0.995,                0.91449,                 0.9965,                      1,                  0.995,                0.91127,                0.44864,                0.70177,                0.44441,                 1.1844,               0.000251,               0.000251,               0.000251
                     56,                0.38484,                0.48266,                0.38851,                 1.0808,                0.99665,                      1,                  0.995,                0.88974,                0.99665,                      1,                  0.995,                 0.9117,                0.44222,                0.69676,                0.46823,                 1.1792,               0.000218,               0.000218,               0.000218
                     57,                 0.3703,                0.49454,                0.39518,                 1.1125,                0.99696,                      1,                  0.995,                0.89588,                0.99696,                      1,                  0.995,                0.91443,                 0.4983,                0.69577,                0.46911,                 1.2402,               0.000185,               0.000185,               0.000185
                     58,                0.40181,                 0.4744,                0.38334,                 1.1281,                0.99697,                      1,                  0.995,                0.90296,                0.99697,                      1,                  0.995,                0.91392,                  0.484,                0.70464,                0.45766,                 1.2353,               0.000152,               0.000152,               0.000152
                     59,                0.36944,                0.48142,                  0.387,                 1.0749,                0.99474,                      1,                  0.995,                0.89861,                0.99474,                      1,                  0.995,                0.91993,                0.47926,                 0.7192,                0.47231,                 1.2555,               0.000119,               0.000119,               0.000119
                     60,                 0.3494,                0.46001,                0.35893,                 1.0407,                0.99442,                      1,                  0.995,                0.90338,                0.99442,                      1,                  0.995,                0.91435,                0.47634,                 0.7225,                0.46259,                 1.2754,                8.6e-05,                8.6e-05,                8.6e-05
